English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted,Duplicate?
practical,B1,adjective,praktičan,X,koji je koristan i primjenjiv u stvarnosti,X,Trebaš pronaći praktičan način da organiziraš vrijeme.,You need to find a practical way to organize your time.,,
practically,B2,adverb,praktički,X,gotovo; u osnovi,X,"Projekt je praktički završen, preostaju samo tehnički detalji.","The project is practically complete, only technical details remain.",,
"dust, dirt",A2,feminine,prašina,X,sitne čestice koje se talože na površinama u zatvorenom prostoru,X,Na polici se skupila prašina.,Dust has gathered on the shelf.,,
wash,A1,verb,prati,X,uklanjati prljavštinu s tijela ili predmeta,X,Pratim ruke prije jela.,I wash my hands before eating.,,
"proper, right, straight",B2,adjective,prav,X,koji slijedi ravnu liniju ili pravilan oblik,X,Ona je podnijela prav zahtjev na temelju zakona.,She submitted a proper request on the basis of the law.,,
"direction, route",B1,masculine,pravac,X,smjer kretanja ili linija puta,X,Autobus mijenja pravac kod sljedećeg semafora.,The bus changes direction at the next traffic light.,,
justice,B2,feminine,pravda,X,pojam pravednog postupanja prema svima,X,Građani su izašli na ulice tražeći pravdu.,Citizens went out into the streets demanding justice.,,
correct,A2,adjective,pravilan,X,koji slijedi pravila ili propise,X,Odgovor mora biti pravilan.,The answer must be correct.,,
"correctly, properly",A2,adverb,pravilno,X,na ispravan način; u skladu s pravilima,X,Odgovor mora biti pravilno napisan.,The answer must be written correctly.,,
rule,B1,neuter,pravilo,X,garantirano pravilo ponašanja,X,Pravilo je jasno i svi ga moraju poštovati.,The rule is clear and everyone must respect it.,,
"right, law",B1,neuter,pravo,X,"zakon, pravo djelovanje ili mogućnost da se nešto učini",X,Svatko ima pravo na obrazovanje.,Everyone has the right to education.,,
empty,A2,adjective,prazan,X,koji nema sadržaja iznutra,X,Hodnik je prazan jer su svi otišli.,The hallway is empty because everyone has left.,,
"holiday, day off",A2,masculine,praznik,X,neradni dan određen tradicijom ili zakonom,X,Za praznik ćemo posjetiti obitelj.,We are going to visit family for the holiday.,,
"in front of, before",A1,preposition,pred,X,pred; ispred; na čelu,X,Ljudi stoje pred kinom i kupuju karte.,People are standing in front of the movie theater buying tickets.,,
tradition,C,neuter,predanje,X,"predaja znanja, vjere ili običaja iz prošlosti",X,U narodu se još uvijek prenosi staro predanje o nastanku sela.,Among the people an old legend about the founding of the village is still passed down.,,
"submit, deliver, hand over",B1,verb,predati,X,predati nešto drugoj osobi ili instituciji,X,Student mora predati rad do kraja tjedna.,The student must submit the paper by the end of the week.,,
suburb,B1,neuter,predgrađe,X,dio grada izvan središta,X,Odrastao sam u mirnom predgrađu blizu Zagreba.,I grew up in a quiet suburb near Zagreb.,,
"appetizer, starter",A2,neuter,predjelo,X,manje jelo prije glavnog jela,X,Predjelo je bila juha od povrća.,The appetizer was vegetable soup.,,
"suggest, propose",B2,verb,predlagati,X,iznositi ideju ili prijedlog na razmatranje,X,Uvijek voli predlagati nova rješenja na sastancima.,He always likes to suggest new solutions at meetings.,,
"suggest, propose",B1,verb,predložiti,X,iznijeti prijedlog nakon promišljanja,X,Predložio je novu strategiju za sljedeći sastanak.,He proposed a new strategy for the next meeting.,,
"subject, object",A2,masculine,predmet,X,stvar koja služi za učenje ili rad u školi; predmet interesa,X,Učitelj objašnjava novi predmet u školi.,The teacher is explaining a new subject at school.,,
advantage,B2,feminine,prednost,X,korist ili bolja mogućnost u odnosu na druge,X,Velika prednost života u gradu je dostupnost usluga.,A big advantage of living in a city is the availability of services.,,
"excellent, too good",B1,adjective,predobar,X,koji je iznimno dobar; bolji nego što je potrebno,X,"Taj film je predobar, pogledaj ga obavezno.",That movie is excellent — you must watch it.,,
prejudice,B2,feminine,predrasuda,X,negativan stav prema određenoj skupini ljudi,X,Predrasuda često sprječava ljude da upoznaju istinu.,Prejudice often prevents people from knowing the truth.,,
president,A2,masculine,predsjednik,X,osoba koja vodi državu ili organizaciju,X,Predsjednik je održao govor u gradu.,The president gave a speech in the city.,,
"play, performance, show",A2,feminine,predstava,X,kazališna izvedba,X,Predstava traje jedan sat i pola.,The play lasts one and a half hours.,,
present,B1,verb,predstaviti,X,pokazati nekoga ili nešto drugima prvi put,X,Želim ti predstaviti svog prijatelja.,I want to introduce you to my friend.,,
represent,B1,verb,predstavljati,X,stalno prikazivati ili opisivati osobu ili stvar,X,On često predstavlja svoju školu na natjecanjima.,He often represents his school in competitions.,,
representative,B2,masculine,predstavnik,X,osoba koja zastupa neku skupinu ili instituciju,X,Predstavnik učenika govorio je na sastanku škole.,The student representative spoke at the school meeting.,,
prediction,B2,neuter,predviđanje,X,procjena budućih događaja,X,Predviđanje kretanja tržišta zahtijeva dobre podatke i iskustvo.,Predicting market movements requires good data and experience.,,
predict,B2,verb,predviđati,X,procjenjivati ono što će se dogoditi,X,Stručnjaci pokušavaju predviđati dugoročne promjene u populaciji.,Experts try to predict long-term changes in the population.,,
predict,C,verb,predvidjeti,X,izreći budući događaj unaprijed,X,"Te promjene bilo je moguće predvidjeti tek nakon što su modeli uključili rijetke, ali presudne varijable.",These changes were only predictable after the models included rare but crucial variables.,,
negotiate,B2,verb,pregovarati,X,voditi razgovore radi dogovora ili sporazuma,X,Dugo su pregovarali o novom poslovnom ugovoru.,They negotiated for a long time about the new business contract.,,
negotiation,B2,masculine,pregovor,X,razgovor radi postizanja dogovora,X,Pregovori između dviju strana završili su kompromisom.,The negotiations between the two sides ended in a compromise.,,
"diet, nutrition",B2,feminine,prehrana,X,način prehrane i unošenja hranjivih tvari,X,Zdrava prehrana pomaže tijelu da ostane snažno.,A healthy diet helps the body stay strong.,,
switch,B1,masculine,prekidač,X,uređaj kojim se uključuje ili isključuje električni krug,X,Pritisnuo sam prekidač i svjetlo se ugasilo.,I pressed the switch and the light went out.,,
interrupt,B2,verb,prekidati,X,zaustavljati neku radnju više puta ili privremeno,X,Veza između njih počela je pucati jer su stalno prekidali razgovore.,The relationship between them began to fall apart because they kept interrupting conversations.,,
interrupt,B1,verb,prekinuti,X,"prekinuti vezu, razgovor ili neki proces",X,Morali su prekinuti vezu zbog udaljenosti.,They had to break off the relationship because of the distance.,,
"over, across",A2,preposition,preko,X,preko; s jedne strane na drugu,X,Prešli smo preko mosta.,We crossed over the bridge.,,
cover,B1,verb,prekriti,X,staviti pokrov preko nečega,X,Oblak je uspio potpuno prekriti sunce.,The cloud managed to completely cover the sun.,,
cover,B2,verb,prekrivati,X,prekrivati slojem ili materijalom,X,Svako jutro prekrivam biljke kako bi bile zaštićene od hladnoće.,Every morning I cover the plants to protect them from the cold.,,
"according to, toward, towards",A2,preposition,prema,X,prema; u smjeru koga ili čega,X,"Prema planu, putovanje počinje sutra.","According to the plan, the trip starts tomorrow.",,
too little,A2,adverb,premalo,X,u manjoj mjeri nego što je potrebno,X,Imam premalo novca.,I don't have enough money.,,
"although, even though",B2,conjunction,premda,X,"iako, unatoč nečemu",X,"Premda je imala sve razloge da ode, odlučila je ostati.","Although she had every reason to leave, she decided to stay.",,
prime minister,B1,masculine,premijer,X,osoba koja vodi vladu države,X,Premijer je održao govor u parlamentu.,The Prime Minister gave a speech in parliament.,,
premiere,B1,feminine,premijera,X,prvo javno izvođenje umjetničkog djela,X,Premijera predstave privukla je velik broj gledatelja.,The premiere of the play attracted a large audience.,,
"reconsider, rethink, think over",B2,verb,premisliti,X,ponovno razmotriti odluku ili mišljenje,X,Nakon razgovora je premislio svoj stav o prijedlogu.,"After the conversation, he reconsidered his position on the proposal.",,
"transfer, transmit",B1,verb,prenositi,X,prenijeti nešto s mjesta na mjesto,X,Virus se može prenositi kapljičnim putem.,The virus can be transmitted through droplets.,,
"transferable, transmittable, portable",B2,adjective,prenosiv,X,koji se može prenijeti ili prenositi,X,Virus nije prenosiv u ranoj fazi bolesti.,The virus is not transmissible in the early stages of the disease.,,
oversensitive,B2,adjective,preosjetljiv,X,koji pretjerano reagira na podražaje,X,Postao je preosjetljiv na svaku kritiku.,He became hypersensitive to any criticism.,,
"hypersensitivity, oversensitivity",B2,feminine,preosjetljivost,X,stanje pojačane osjetljivosti,X,Preosjetljivost na buku ometa joj svakodnevne obaveze.,Hypersensitivity to noise interferes with her daily duties.,,
copy,B1,verb,prepisati,X,prepisati tekst s izvora,X,Morao sam prepisati bilješke jer su bile nečitke.,I had to rewrite the notes because they were illegible.,,
overwhelm,B2,verb,preplaviti,X,prekriti velikom količinom nečega,X,Loše vijesti mogu preplaviti čovjeka u nekoliko minuta.,Bad news can overwhelm a person in a matter of minutes.,,
overwhelmed,B2,adjective,preplavljen,X,koji je ispunjen do mjere gubitka kontrole,X,Bio je potpuno preplavljen količinom posla.,He was completely overwhelmed by the amount of work.,,
"rebirth, revival, renaissance",B2,masculine,preporod,X,ponovno oživljavanje duhovnih ili kulturnih vrijednosti,X,Književni preporod donio je novi interes za nacionalni jezik.,The literary revival has brought new interest in the national language.,,
recommend,B1,verb,preporučiti,X,savjetovati nešto kao najbolje rješenje,X,Liječnik mi je preporučio više odmora i kretanja.,The doctor recommended I get more rest and exercise.,,
recommend,B2,verb,preporučivati,X,davati savjet ili preporuku više puta,X,Liječnici često preporučuju tjelesnu aktivnost za bolje zdravlje.,Doctors often recommend physical activity for better health.,,
recommendation,B1,feminine,preporuka,X,pisani ili usmeni prijedlog ili savjet,X,Dobila je preporuku za posao u inozemstvu.,She received a recommendation for a job abroad.,,
recognizable,B2,adjective,prepoznatljiv,X,koji se lako može prepoznati,X,Njegov glas ima prepoznatljiv ton koji se lako pamti.,His voice has a recognizable tone that is easy to remember.,,
"recognizability, identifiability",C,feminine,prepoznatljivost,X,svojstvo lakoće prepoznavanja,X,Prepoznatljivost njegova stilskog rukopisa vidi se i u najmanjim odstupanjima.,The recognizability of his stylistic handwriting is visible even in the smallest deviations.,,
stop,C,verb,prestajati,X,postupno dolaziti do kraja; prestajati trajati,X,Razgovor je prestajao svaki put kada bi se dotaknuli tema koje nitko nije želio otvoriti.,The conversation stopped every time they touched on topics that no one wanted to discuss.,,
stop,A2,verb,prestati,X,završiti s nekom radnjom ili stanjem,X,Odlučio sam prestati jesti slatkiše na neko vrijeme.,I decided to stop eating sweets for a while.,,
prestige,B2,masculine,prestiž,X,ugled temeljen na uspjehu,X,Prestiž tog sveučilišta temelji se na dugoj tradiciji istraživanja.,The prestige of this university is based on a long tradition of research.,,
prestigious,B2,adjective,prestižni,X,koji donosi ugled,X,Sudjelovanje na prestižnoj konferenciji otvorilo mu je nova profesionalna vrata.,Participation in a prestigious conference opened new professional doors for him.,,
judge,C,verb,presuditi,X,donijeti odluku o krivnji ili nevinosti,X,Sudac je nakon dugog vijećanja konačno presudio u korist optuženika.,"After a long deliberation, the judge finally ruled in favor of the defendant.",,
predecessor,B2,masculine,prethodnik,X,osoba koja je obavljala funkciju prije druge,X,Njegov prethodnik ostavio je nejasne upute o projektu.,His predecessor had left vague instructions about the project.,,
obesity,B2,feminine,pretilost,X,pretjerana tjelesna težina; debljina,X,Pretilost postaje sve veći zdravstveni problem.,Obesity is becoming an ever greater health problem.,,
obese,C,adjective,pretio,X,koji ima prekomjernu tjelesnu težinu,X,Pacijent je pretio i mora promijeniti prehrambene navike.,The patient is obese and must change his eating habits.,,
assume,B1,verb,pretpostaviti,X,pretpostaviti nešto kao moguće ili točno,X,Pretpostavio sam da neće doći.,I assumed he wouldn’t come.,,
"assumption, supposition",C,feminine,pretpostavka,X,ono što se smatra istinitim bez dokaza,X,Njihova pretpostavka temelji se na starim informacijama.,Their assumption is based on old information.,,
assume,B2,verb,pretpostavljati,X,ponavljano pretpostavljati nešto bez dokaza,X,Ne volim pretpostavljati bez dovoljno informacija.,I don’t like assuming without enough information.,,
search,B1,feminine,pretraga,X,traženje informacija ili podataka,X,Pretraga dokumentacije trajala je nekoliko sati.,The documentation search took several hours.,,
search,B2,verb,pretraživati,X,tražiti sustavno ili detaljno,X,Novinari su satima pretraživali arhiv u potrazi za dodatnim podacima.,Journalists spent hours searching the archives in search of additional information.,,
"take over, take on, download",B2,verb,preuzeti,X,preuzeti kontrolu ili podatke,X,Odlučio je preuzeti kontrolu nad projektom nakon niza propusta.,He decided to take control of the project after a series of failures.,,
"download, takeover",B1,neuter,preuzimanje,X,čin preuzimanja kontrole ili podataka,X,Preuzimanje datoteke trajalo je nekoliko minuta.,The file download took a few minutes.,,
"take over, take on, download",B1,verb,preuzimati,X,preuzimati odgovornost ili podatke,X,Počeo sam polako preuzimati sve zadatke dok je kolega bio na bolovanju.,I slowly started taking over all the tasks while my colleague was on sick leave.,,
translate,B1,verb,prevesti,X,prenijeti značenje s jednog jezika na drugi,X,Morao sam prevesti tekst s engleskog na hrvatski.,I had to translate a text from English to Croatian.,,
too,A2,adverb,previše,X,u prevelikoj mjeri,X,Pojeo sam previše kolača i sada mi je teško.,I ate too many cakes and now I feel heavy.,,
translator,B1,masculine,prevoditelj,X,osoba koja prevodi s jednog jezika na drugi,X,Prevoditelj je radio na međunarodnoj konferenciji.,The translator was working at an international conference.,,
translate,B2,verb,prevoditi,X,ponavljano prenositi značenje između jezika,X,"Kada prevoditi stručne tekstove, moraš paziti na nijanse koje mijenjaju značenje.","When translating professional texts, you have to pay attention to nuances that change the meaning.",,
survive,B1,verb,preživjeti,X,ostati živ nakon opasne situacije,X,Teško je preživjeti u pustinji bez vode.,It is hard to survive in the desert without water.,,
"when, at, near, having",B2,preposition,pri,X,označuje približno mjesto ili vrijeme,X,Pri ulasku u zgradu potrebno je pokazati iskaznicu.,When entering the building it is necessary to show an ID.,,
bring closer,B2,verb,približiti,X,dovesti nešto ili nekoga na manju udaljenost,X,Pokušao se približiti temi bez predrasuda.,He tried to approach the subject without prejudice.,,
approximately,B1,adverb,približno,X,otprilike; približno,X,Vrijeme putovanja je približno dva sata.,The travel time is approximately two hours.,,
story,A1,feminine,priča,X,pričanje događaja; pripovijest,X,Priča ima sretan kraj.,The story has a happy ending.,,
"tell, talk",A1,verb,pričati,X,izražavati događaje ili misli riječima,X,Djeca pričaju priče u parku.,Children tell stories in the park.,,
"approach, come toward, come towards",B1,verb,prići,X,približiti se osobi ili mjestu,X,Prišao joj je da joj pomogne s torbom.,He went over to help her with her bag.,,
suburban,B2,adjective,prigradski,X,koji se nalazi u blizini grada,X,Prigradski vlakovi povezuju središte grada s okolnim mjestima.,Commuter trains connect the city center with the surrounding areas.,,
"income, revenue",B2,masculine,prihod,X,novac stečen obavljanjem djelatnosti,X,Prihod kompanije znatno je porastao nakon restrukturiranja.,The company's revenue increased significantly after the restructuring.,,
accept,B1,verb,prihvatiti,X,pristati na nešto što je ponuđeno ili predloženo,X,Nisam mogao prihvatiti tu ponudu.,I could not accept that offer.,,
friend,A1,masculine,prijatelj,X,osoba s kojom se njeguje prijateljski odnos,X,Moj prijatelj živi u Splitu.,My friend lives in Split.,,
friend,A1,feminine,prijateljica,X,ženska osoba s kojom se ima prijateljski odnos,X,Prijateljica mi pomaže svaki dan.,My friend helps me every day.,,
friendship,B1,neuter,prijateljstvo,X,odnos uzajamne naklonosti i povjerenja među ljudima,X,Pravo prijateljstvo traje cijeli život.,True friendship lasts a lifetime.,,
"application, registration, report",A2,feminine,prijava,X,pisani zahtjev ili prijavljivanje,X,Poslao sam prijavu za novi posao.,I sent in an application for a new job.,,
report,B2,verb,prijaviti,X,obavijestiti nadležno tijelo o nečemu službeno,X,Odlučila je prijaviti incident policiji.,She decided to report the incident to the police.,,
before,A2,preposition,prije,X,ranije od nečega,X,Prije ručka perem ruke.,I wash my hands before lunch.,,
"earlier, before",A2,adverb,prije,X,ranije od nekog vremena ili događaja,X,Prije sam živio u Splitu.,I used to live in Split before.,,
cross,B1,verb,prijeći,X,proći preko nečega,X,Moramo prijeći most da bismo stigli do sela.,We have to cross the bridge to get to the village.,,
"proposal, proposition",B2,masculine,prijedlog,X,riječ koja uvodi odnos između dijelova rečenice,X,Njegov prijedlog o novom projektu izazvao je raspravu.,His proposal for a new project sparked a discussion.,,
crossing,B1,masculine,prijelaz,X,mjesto prelaska s jedne strane na drugu,X,Pješački prijelaz je dobro označen.,The pedestrian crossing is well marked.,,
"temporary, transitional",B2,adjective,prijelazan,X,koji služi prijelaznom razdoblju,X,To je samo prijelazno rješenje dok ne dovršimo trajni plan.,It is only a temporary solution until we can finalize the permanent plan.,,
receiver,B1,masculine,"prijemnik, prijamnik",X,uređaj koji prima signale ili poruke,X,Prijemnik je uhvatio signal tek nakon podešavanja antene.,The receiver only picked up the signal after adjusting the antenna.,,
transfer,B2,verb,prijenos,X,prenošenje nečega s jednog mjesta na drugo,X,Teško je pratiti prijenos podataka bez dodatnog softvera.,It is difficult to monitor the data transfer without additional software.,,
portable,B2,adjective,prijenosni,X,koji se može lako nositi ili premještati,X,Kupio sam prijenosni uređaj kako bih mogao raditi u vlaku.,I bought a portable device so that I can work on the train.,,
"morning, forenoon",A2,masculine,prijepodne,X,dio dana prije podneva,X,Prijepodne radim u uredu.,I work in the office in the morning.,,
threaten,B2,verb,prijetiti,X,izreći prijetnju; davati do znanja da će se učiniti šteta,X,Počeo je prijetiti kolegi zbog nesporazuma.,He started threatening his colleague because of a misunderstanding.,,
threat,B2,feminine,prijetnja,X,izražavanje opasnosti ili namjere nanošenja štete,X,Prijetnja nasiljem uzrokovala je paniku.,The threat of violence caused panic.,,
"fraud, scam, swindle, deception, deceit",B2,feminine,prijevara,X,namjerno obmanjivanje radi koristi,X,Istraga je pokazala da je riječ o složenoj financijskoj prijevari.,The investigation has shown that it is a complex financial fraud.,,
translation,B1,masculine,prijevod,X,tekst preveden s jednog jezika na drugi,X,Prijevod romana bio je vrlo precizan.,The translation of the novel was very precise.,,
"transport, transportation",B1,masculine,prijevoz,X,sredstvo kojim se nešto prenosi s mjesta na mjesto,X,Javni prijevoz u gradu radi vrlo točno.,Public transport in the city runs very punctually.,,
display,B2,masculine,prikaz,X,ono što se prikazuje; vizualni prikaz,X,Film daje realističan prikaz života u malom gradu.,The film gives a realistic depiction of life in a small town.,,
"display, show, portray, showcase",B1,verb,prikazati,X,pokazati ili predstaviti nešto drugima,X,Film želi prikazati stvarne događaje bez uljepšavanja.,The film aims to show real events without embellishment.,,
"showcase, display, show, portray",B2,verb,prikazivati,X,pokazivati ili predstavljati nešto drugima,X,Galerija često prikazuje radove mladih autora.,The gallery often showcases works by young authors.,,
considerable,B2,adjective,priličan,X,koji je popriličan po količini ili veličini,X,U dvorani je bilo priličan broj ljudi.,In the hall there was a considerable number of people.,,
"quite, pretty, rather",B1,adverb,prilično,X,"u znatnoj mjeri, dosta",X,Film je bio prilično dobar.,The film was quite good.,,
"opportunity, chance",A2,feminine,prilika,X,povoljan trenutak za ostvarenje cilja,X,To je dobra prilika za novi posao.,It's a good opportunity for a new job.,,
adverb,B2,masculine,prilog,X,riječ koja dodatno objašnjava glagol ili cijelu rečenicu,X,U tekstu je upotrijebio prilog da bi pojasnio svoje mišljenje.,He used an adverb in the text to clarify his opinion.,,
receive,B1,verb,primati,X,dobivati ono što netko šalje ili daje,X,Redovito primam poštu od obitelji.,I regularly receive mail from my family.,,
"receive, get",B1,verb,primiti,X,uzeti ili dobiti nešto,X,Nisam očekivao da ću primiti tako lijep poklon.,I didn’t expect to receive such a nice gift.,,
example,A2,masculine,primjer,X,nešto što pokazuje kako se nešto radi ili objašnjava,X,To je dobar primjer kako treba učiti svaki dan.,That’s a good example of how one should study every day.,,
for example,B1,adverb,primjerice,X,za primjer; kao ilustracija,X,"Neke životinje, primjerice lavovi, žive u skupinama.","Some animals, for example lions, live in groups.",,
print,A2,verb,printati,X,otiskivati tekst ili slike,X,Moram printati kartu za putovanje.,I have to print out the ticket for the trip.,,
printer,A1,masculine,printer,X,uređaj za ispis na papiru,X,Dokument izlazi iz printera pored računala.,A document comes out of the printer next to the computer.,,
belong,B2,verb,pripadati,X,biti dio neke skupine ili pripadati nečemu,X,Ova knjiga pripada rijetkom žanru filozofske proze.,This book belongs to a rare genre of philosophical prose.,,
member,B2,masculine,pripadnik,X,"osoba koja pripada određenoj skupini, organizaciji ili narodu",X,On je ponosni pripadnik planinarskog društva.,He is a proud member of the mountaineering society.,,
"affiliation, belonging",C,feminine,pripadnost,X,"pripadanje skupini, organizaciji ili identitetu",X,Osjećaj pripadnosti zajednici često je jači od osobnih interesa.,The sense of belonging to a community is often stronger than personal interests.,,
"tale, story, narration",B2,feminine,pripovijest,X,duža pripovijest o događajima ili ljudima,X,Stara pripovijest prenosi važnu poruku.,An old story conveys an important message.,,
prepare,A2,verb,pripremati,X,raditi pripreme za nešto što će se dogoditi,X,Ona priprema večeru za cijelu obitelj.,She is preparing dinner for the whole family.,,
prepare,B1,verb,pripremiti,X,pripremiti unaprijed ono što je potrebno,X,Moram pripremiti prezentaciju za sutra.,I have to prepare a presentation for tomorrow.,,
"performance, show",A2,feminine,priredba,X,organizirana javna priredba,X,Priredba je počela u pet sati u školskoj dvorani.,The performance began at five o'clock in the school hall.,,
nature,A2,feminine,priroda,X,ukupnost pojava i bića izvan ljudskog djelovanja,X,Volim boraviti u prirodi vikendom.,I love spending time in nature on weekends.,,
natural,A2,adjective,prirodan,X,koji je u skladu s prirodom ili urođenim osobinama,X,To je vrlo prirodan razgovor između prijatelja.,That is a very natural conversation between friends.,,
"manual, handbook",B1,masculine,priručnik,X,praktični priručni tekst,X,Priručnik objašnjava kako pravilno koristiti uređaj.,The manual explains how to use the device properly.,,
access,B1,masculine,pristup,X,mogućnost ulaska ili korištenja,X,Pristup internetu ovdje je spor i nestabilan.,The internet access here is slow and unstable.,,
accessible,B2,adjective,pristupačan,X,koji se lako može dosegnuti ili razumjeti,X,Hotel je vrlo pristupačan i blizu centra grada.,The hotel is very accessible and close to the city center.,,
present,B1,adjective,prisutan,X,koji je prisutan na određenom mjestu ili događaju,X,Bio je prisutan na sastanku.,He was present at the meeting.,,
pressure,B2,masculine,pritisak,X,sila kojom se pritišće površina ili stanje napetosti,X,Osjećam veliki pritisak na poslu.,I feel great pressure at work.,,
press,B1,verb,pritisnuti,X,pritisnuti nešto silom prema dolje ili naprijed,X,Moraš pritisnuti gumb da upališ svjetlo.,You must press the button to turn on the light.,,
afford,C,verb,priušćivati,X,moći priuštiti ponavljano,X,Autor si priušćivao male digresije koje otkrivaju njegovu metodičku nesigurnost.,The author indulged in small digressions that reveal his methodical insecurity.,,
afford,B2,verb,priuštiti,X,moći priuštiti jednokratno,X,Nakon godina rada mogao si priuštiti putovanje oko svijeta.,"After years of work, he could afford to travel around the world.",,
attractive,B2,adjective,privlačan,X,koji izaziva privlačnost,X,Stari trg još uvijek ima privlačan šarm.,The old square still has an attractive charm.,,
attract,B1,verb,privlačiti,X,privlačiti pažnju ili interes,X,Ova tema privlači mnogo mladih ljudi.,This topic attracts many young people.,,
attract,B2,verb,privući,X,privući pažnju ili izazvati zanimanje,X,Novi film uspio je privući pažnju međunarodne publike.,The new film managed to attract the attention of an international audience.,,
"first floor, ground floor",A2,neuter,prizemlje,X,donji kat zgrade u razini s tlom,X,U prizemlju se nalazi mala trgovina.,There is a small store on the first floor.,,
admit,B1,verb,priznati,X,priznati istinu ili postupak,X,Na kraju je priznao da je pogriješio.,"In the end, he admitted that he was wrong.",,
defiance,B2,masculine,prkos,X,prkosno suprotstavljanje,X,U njegovu ponašanju osjećao se tihi prkos.,There was a quiet defiance in his demeanor.,,
defiant,B2,adjective,prkosan,X,koji se ponaša s prkosom,X,Dao je prkosan odgovor i odbio povući izjavu.,He gave a defiant response and refused to retract his statement.,,
defy,C,verb,prkositi,X,suprotstaviti se iz inata,X,U najkritičnijem trenutku odlučila je prkositi pravilima kako bi očuvala vlastiti integritet.,"At the most critical moment, she decided to defy the rules in order to preserve her own integrity.",,
dirty,A1,adjective,prljav,X,koji nije čist,X,Tvoja majica je prljava nakon igre.,Your T-shirt is dirty after playing.,,
try,A2,verb,probati,X,kušati hranu ili piće; pokušati nešto,X,Želim probati ovu juhu.,I want to try this soup.,,
problem,A1,masculine,problem,X,teškoća koja zahtijeva rješenje,X,Imam jedan problem u školi.,I have a problem at school.,,
"stab, pierce, knife",B2,verb,probosti,X,probušiti ili probiti oštrim predmetom,X,Vitez je slučajno probio štit protivnika.,The knight accidentally pierced the opponent’s shield.,,
pierce,B2,verb,probušiti,X,proći kroz nešto oštrim predmetom,X,Probušio je gumu na biciklu dok je vozio kroz grad.,He punctured the tire on his bike while riding through the city.,,
process,B1,masculine,proces,X,tijek radnji u nekom sustavu,X,"Proces oporavka bio je spor, ali siguran.",The recovery process was slow but sure.,,
processor,B1,masculine,procesor,X,jedinica za obradu podataka,X,Novi procesor znatno ubrzava rad računala.,A new processor is significantly speeding up computers.,,
read through,A2,verb,pročitati,X,pročitati od početka do kraja,X,Pročitao sam knjigu u jednom danu.,I read a book in one day.,,
leak,B1,verb,procuriti,X,početi curiti,X,Voda je počela procuriti ispod vrata kupaonice.,Water started leaking from under the bathroom door.,,
leak,B2,verb,procurivati,X,curiti postupno i dugotrajno,X,Podaci su polako procurivali kroz neosigurani sustav.,The data slowly leaked through the unsecured system.,,
sale,B1,feminine,prodaja,X,proces prodavanja robe ili usluga,X,Prodaja automobila raste svake godine.,Car sales are growing every year.,,
sell,B1,verb,prodati,X,dati robu ili uslugu u zamjenu za novac,X,On želi prodati svoj stari bicikl.,He wants to sell his old bicycle.,,
salesman,A1,masculine,prodavač,X,osoba koja prodaje robu,X,Prodavač stoji iza pulta.,The salesman is standing behind the counter.,,
saleswoman,A1,feminine,prodavačica,X,žena koja prodaje robu,X,Prodavačica prodaje kruh i mlijeko.,The saleswoman sells bread and milk.,,
sell,A1,verb,prodavati,X,prodavati robu ili usluge kupcima,X,On prodaje voće na tržnici.,He sells fruit at the market.,,
be sold,B2,expression,prodavati se,X,"biti ponuđen na prodaju, imati tržišnu vrijednost",X,Ova knjiga se prodaje u svim većim knjižarama.,This book is sold in all major bookstores.,,
professor,A2,masculine,profesor,X,učitelj na visokoj školi ili sveučilištu,X,Profesor objašnjava studentima novu lekciju.,The professor is explaining a new lesson to the students.,,
profit,B1,masculine,profit,X,dobit ostvaren poslovanjem,X,Tvrtka je ostvarila veći profit nego prošle godine.,The company made more profit than last year.,,
persecution,B2,masculine,progon,X,sustavno zlostavljanje ili tjeranje nekoga,X,Progon manjine izazvao je međunarodne reakcije.,The persecution of a minority has provoked international reactions.,,
exile,C,neuter,progonstvo,X,prisilno udaljenje iz domovine,X,Progonstvo mu je preoblikovalo identitet više nego sama kazna.,Exile reshaped his identity more than the punishment itself.,,
program,B1,masculine,program,X,planirani skup radnji koje vode određenom cilju,X,TV program počinje u osam sati.,The TV program starts at eight o’clock.,,
software,B1,feminine,programska oprema,X,programska oprema računala,X,Programska oprema mora biti redovito ažurirana.,The software must be updated regularly.,,
programming,B1,adjective,programski,X,koji se odnosi na programe ili programiranje,X,Koristimo programski jezik koji je jednostavan za učenje.,We use a programming language that is easy to learn.,,
begin walking,B2,verb,prohodati,X,početi hodati,X,Nakon terapije uspio je ponovno prohodati bez pomoći.,"After therapy, he was able to walk again without assistance.",,
produce,B2,verb,proizvesti,X,napraviti ili stvoriti nešto uporabom materijala ili rada,X,Tvornica planira proizvesti više električnih automobila ove godine.,The factory plans to produce more electric cars this year.,,
product,A2,masculine,proizvod,X,nešto što je proizvedeno za prodaju ili upotrebu,X,Ovaj proizvod je vrlo popularan među mladima.,This product is very popular among young people.,,
produce,B1,verb,proizvoditi,X,"praviti, stvarati nešto što se koristi ili prodaje",X,Tvornica počinje proizvoditi električne automobile.,The factory is starting to produce electric cars.,,
project,A2,masculine,projekt,X,planirani zadatak ili rad na određenoj temi,X,Radimo na novom projektu za školu.,We are working on a new project for the school.,,
